iter	TotalF1	Logloss
0	0.8930522407	0.5075868224
1	0.8965748164	0.4054200993
2	0.8985435095	0.3450067302
3	0.9025510151	0.3087623745
4	0.9103008618	0.2871308646
5	0.9115989157	0.2698612941
6	0.9119349447	0.2548434884
7	0.9135718245	0.244045313
8	0.9147856129	0.230020988
9	0.9189322258	0.2203838833
10	0.9207334883	0.2136161014
11	0.9244816569	0.2072469048
12	0.9253912285	0.2013507655
13	0.9275879346	0.1979171161
14	0.9292370204	0.1946180795
15	0.9303464137	0.191668252
16	0.9318069658	0.1893404394
17	0.9336778274	0.1865603232
18	0.9339120801	0.1831760217
19	0.9348653908	0.1802532906
20	0.9355338401	0.1776393284
21	0.9366312451	0.1757278248
22	0.9372428485	0.1736057693
23	0.9377916766	0.1713353657
24	0.9386837649	0.169878172
25	0.939276075	0.168324038
26	0.9401648578	0.1669743384
27	0.940784903	0.1654031409
28	0.9413611068	0.1642387012
29	0.9414588329	0.1621921862
30	0.9417454219	0.1605157058
31	0.9423411414	0.159326181
32	0.9429768459	0.1583588466
33	0.9435388223	0.1575028905
34	0.9438444885	0.1555699699
35	0.9438546494	0.1543956861
36	0.943995186	0.1532650924
37	0.9441957217	0.1515972127
38	0.9447192727	0.1507511658
39	0.9452925466	0.1496581929
40	0.9457664237	0.1490226179
41	0.9459969591	0.1478616204
42	0.9459971492	0.1470548044
43	0.9464859564	0.1455563965
44	0.9468943036	0.1448478617
45	0.9470676261	0.1443048456
46	0.9472660499	0.1437646523
47	0.9474945002	0.1432790256
48	0.9477824654	0.1423981085
49	0.9479267385	0.1419439833
50	0.9479677215	0.1412452762
51	0.9481330613	0.1405358009
52	0.9484015113	0.1398323832
53	0.948651778	0.1394027003
54	0.948960673	0.1388746153
55	0.9491233416	0.1385109504
56	0.9491639213	0.13799732
57	0.9491900615	0.1375739559
58	0.9493099919	0.1371290057
59	0.9494360762	0.1365848677
60	0.9495822035	0.1362072409
61	0.9497505924	0.1355571454
62	0.9499511878	0.1350658712
63	0.9501642959	0.1346700679
64	0.9501550556	0.1343492844
65	0.9502339149	0.133716831
66	0.9502506974	0.1335026488
67	0.9503369832	0.1333006844
68	0.9505694972	0.1327502888
69	0.9507324646	0.132422931
70	0.9507778227	0.1320537162
71	0.950846641	0.1317182993
72	0.9509844362	0.1313481089
73	0.9511225074	0.1310231263
74	0.9513584779	0.1305653211
75	0.9515701871	0.1301641495
76	0.9516188632	0.1298635047
77	0.9516273598	0.1293968894
78	0.9516611623	0.1291971963
79	0.9518131011	0.128937262
80	0.9520343982	0.1283155594
81	0.9520598107	0.1281752122
82	0.9522837424	0.127792537
83	0.9523802359	0.1273891582
84	0.9524732622	0.1269795252
85	0.9526789202	0.1265749135
86	0.9527421911	0.1262913931
87	0.952950806	0.1257710073
88	0.9530568888	0.1254598834
89	0.9530768665	0.1251824534
90	0.9531696922	0.1249658519
91	0.9531808667	0.1247890198
92	0.9533015419	0.1245504588
93	0.9533529277	0.1243425082
94	0.9534378771	0.1241925392
95	0.9535169527	0.1239198623
96	0.9536557595	0.1237080134
97	0.9537082432	0.1233963997
98	0.9537655582	0.1232762362
99	0.9538196485	0.1230000133
100	0.9538662811	0.1228633675
101	0.9540020651	0.1226008406
102	0.9540806683	0.1224350291
103	0.9541975271	0.1222325539
104	0.9542405767	0.122058583
105	0.9542585469	0.1218663059
106	0.9543987722	0.1216492979
107	0.9544797364	0.1214780492
108	0.9544998788	0.1213713342
109	0.9545678991	0.1209525634
110	0.9547088746	0.1206633251
111	0.9548197897	0.1205098002
112	0.9548345634	0.1203905241
113	0.9547967627	0.1201663107
114	0.9548486869	0.1200391224
115	0.9549391732	0.1198316212
116	0.9549824054	0.119576401
117	0.9550429064	0.119439032
118	0.9551192813	0.1192716756
119	0.9551097062	0.1191355294
120	0.9551786174	0.1188976055
121	0.9553247484	0.1186413429
122	0.9553421257	0.1185534037
123	0.9555193843	0.1183261807
124	0.9556428246	0.1181154021
125	0.9556567989	0.1179693492
126	0.9557425434	0.1178547234
127	0.9557654653	0.1176148188
128	0.9557605393	0.1175163524
129	0.9558132956	0.117292679
130	0.9558254918	0.1171952027
131	0.955923358	0.1170134062
132	0.9559543166	0.116853673
133	0.9559578217	0.1167349657
134	0.9559846105	0.1165817134
135	0.9560315222	0.1164515915
136	0.9560276011	0.1163402676
137	0.9560550971	0.1161146795
138	0.9561307079	0.115994278
139	0.9561499925	0.1159150019
140	0.9561975201	0.1157122422
141	0.9562245914	0.1156523572
142	0.9562675695	0.115546589
143	0.9562833846	0.1154951288
144	0.956384385	0.1151654004
145	0.9563978036	0.1150729918
146	0.9564307135	0.1149803964
147	0.9565166619	0.1148970663
148	0.9565628918	0.1147884157
149	0.9565980138	0.1146250037
150	0.9566892109	0.114518203
151	0.9567330145	0.1142963009
152	0.9567723639	0.1141812089
153	0.9568099689	0.1140440292
154	0.9568697793	0.1139789587
155	0.9568609426	0.1139276473
156	0.9569096818	0.1137933941
157	0.9570398078	0.1135776221
158	0.9571183015	0.1132877918
159	0.9572067703	0.1131632781
160	0.9572372312	0.1130657122
161	0.9573322092	0.1128886481
162	0.9574054329	0.1126059013
163	0.9574349512	0.1124549965
164	0.9575364644	0.1123224229
165	0.9575359912	0.112246912
166	0.9575915974	0.1121587754
167	0.9576308368	0.1121018231
168	0.9576564814	0.1120023879
169	0.9577578002	0.1118974309
170	0.9577618723	0.1118270966
171	0.957819283	0.1116940844
172	0.957858207	0.1115412777
173	0.9578507263	0.1114893187
174	0.9579320231	0.1112531329
175	0.9579656652	0.1111668888
176	0.9580346538	0.1110852162
177	0.9580091964	0.110996189
178	0.958091752	0.1108714884
179	0.9581318577	0.1108241855
180	0.9581339248	0.1107699002
181	0.9581551777	0.1106356704
182	0.9582036329	0.1105802707
183	0.9582291362	0.1103874985
184	0.9582718847	0.1102651066
185	0.9583016965	0.1101953824
186	0.9583559411	0.1100336086
187	0.9583776047	0.1099692152
