iter	Passed	Remaining
0	750	749943
1	1325	661325
2	1819	604637
3	2258	562299
4	2880	573299
5	3385	560783
6	3821	542173
7	4345	538862
8	4883	537718
9	5382	532887
10	5811	522538
11	6361	523738
12	6834	518922
13	7392	520639
14	7840	514884
15	8289	509807
16	8763	506756
17	9292	506962
18	9719	501855
19	10176	498666
20	10708	499227
21	11260	500596
22	11776	500244
23	12207	496452
24	12685	494747
25	13174	493550
26	13661	492324
27	14129	490508
28	14587	488436
29	15143	489649
30	15665	489672
31	16115	487487
32	16514	483913
33	16964	481987
34	17422	480354
35	17942	480471
36	18415	479313
37	18898	478432
38	19480	480007
39	19905	477729
40	20525	480091
41	21011	479253
42	21470	477841
43	21825	474213
44	22348	474275
45	22854	473989
46	23179	469995
47	23636	468791
48	24153	468784
49	24553	466525
50	25113	467301
51	25562	466031
52	25978	464181
53	26487	464025
54	26984	463645
55	27509	463728
56	27948	462372
57	28398	461238
58	28840	459987
59	29669	464816
60	30158	464245
61	30648	463677
62	31128	462973
63	31634	462658
64	32076	461410
65	32791	464052
66	33382	464866
67	33913	464818
68	34363	463652
69	34883	463455
70	35313	462059
71	35765	460973
72	36228	460050
73	36704	459305
74	37184	458605
75	37922	461054
76	38495	461449
77	38926	460133
78	39377	459066
79	39792	457615
80	40316	457417
81	40958	458539
82	41648	460145
83	42185	460027
84	42709	459756
85	43127	458351
86	43620	457768
87	44168	457742
88	44639	456931
89	45116	456173
90	45551	455014
91	45968	453692
92	46380	452337
93	46786	450939
94	47321	450802
95	47852	450613
96	48320	449830
97	48878	449881
98	49323	448897
99	49820	448386
100	50276	447513
101	50698	446346
102	51186	445769
103	51782	446122
104	52334	446088
105	52952	446597
106	53695	448131
107	54136	447125
108	54580	446156
109	55130	446057
110	55696	446070
111	56182	445448
112	57113	448315
113	57597	447645
114	57953	445988
115	58445	445397
116	58978	445108
117	59461	444447
118	59994	444158
119	60482	443541
120	60973	442941
121	61549	442955
122	62065	442532
123	62652	442610
124	63145	442020
125	63642	441457
126	64109	440689
127	64577	439936
128	65113	439642
129	65572	438832
130	66081	438356
131	66594	437906
132	67537	440263
133	68055	439822
134	68500	438910
135	69054	438702
136	69560	438180
137	70099	437869
138	70533	436903
139	71156	437106
140	71725	436968
141	72274	436700
142	72978	437363
143	73593	437471
144	74224	437668
145	74761	437302
146	75267	436757
147	75818	436468
148	76368	436173
149	77149	437180
150	77671	436709
151	78154	436021
152	78600	435129
153	79057	434301
154	79565	433759
155	80106	433395
156	80623	432902
157	81084	432109
158	81590	431555
159	82106	431058
160	82538	430123
161	83130	430022
162	83598	429277
163	84304	429746
164	84748	428877
165	85178	427945
166	85664	427298
167	86210	426944
168	86769	426660
169	87299	426227
170	87749	425407
171	88165	424426
172	88692	423980
173	89163	423268
174	89596	422384
175	90162	422126
176	90750	421963
177	91281	421534
178	91747	420806
179	92236	420187
180	92643	419199
181	93225	419004
182	93762	418602
183	94228	417883
184	94674	417080
185	95165	416475
186	95709	416107
187	96167	415363
188	96670	414812
189	97149	414164
190	98082	415438
191	98727	415480
192	99175	414688
193	99661	414056
194	100178	413557
195	100717	413145
196	101136	412246
197	101608	411565
198	102105	410987
199	102607	410429
200	103054	409655
201	103482	408808
202	103984	408254
203	104432	407491
204	104876	406714
205	105280	405789
206	105736	405069
207	106581	405831
208	107084	405282
209	107611	404824
210	108032	403969
211	108574	403571
212	109094	403086
213	109649	402731
214	110200	402361
215	110751	401986
216	111228	401346
217	111692	400658
218	112213	400178
219	112732	399687
220	113227	399113
221	113723	398545
222	114155	397751
223	114636	397132
224	115161	396667
225	115795	396572
226	116284	395982
227	116953	396000
228	117418	395324
229	118038	395172
230	118539	394620
231	119041	394068
232	119477	393301
233	119942	392633
234	120486	392220
235	120900	391391
236	121353	390686
237	121896	390273
238	122364	389619
239	122901	389187
240	123501	388952
241	123992	388373
242	124756	388645
243	125218	387972
244	125730	387455
245	126364	387311
246	126881	386807
247	127417	386363
248	127829	385543
249	128310	384931
250	128873	384567
251	129450	384242
252	129947	383677
253	130443	383114
254	130881	382380
255	131420	381939
256	132232	382291
257	132670	381557
258	133211	381119
259	133776	380748
260	134421	380603
261	134985	380226
262	135582	379939
263	136106	379447
264	136786	379388
265	137365	379046
266	137873	378506
267	138393	377998
268	138995	377716
269	139571	377359
270	140255	377292
271	140794	376832
272	141215	376057
273	141761	375615
274	142277	375094
275	142751	374463
276	143176	373705
277	143706	373222
278	144234	372735
279	144817	372387
280	145333	371867
281	145824	371284
282	146321	370714
283	146824	370163
284	147410	369819
285	147955	369370
286	148516	368963
287	149074	368545
288	149597	368040
289	150110	367510
290	150540	366780
291	151000	366125
292	151530	365639
293	152043	365110
294	152574	364626
295	153080	364084
296	153654	363701
297	154106	363028
298	154900	363162
299	155431	362672
